Site Name,Roman Name,Origin,Status,Defended,Second_Century_Defence,NGR,Site X,Site Y,Location_Source,Record_Number
East Bridgeford,MARGIDUNUM,Probable Fort,Other,No,No,SK 700 416,470000,341600,Historic England,321885
Ewell,,Probable LPRIA site,Other,No,No,TQ 22 62,522000,162000,Historic England,400924
Fenny Stratford,MAGIOVINIUM,NA,Other,No,No,SP 89039 33494,489039,233494,Historic England,344743
Fimber,Delgovicia,NA,Other,No,No,SE 920 597,492000,459700,Historic England,64538
Fingringhoe Wick Fingringhoe,,NA,Other,No,No,TM 047 193,604700,219300,Historic England,386043
Frilford,,Definite LPRIA site,Other,No,No,SU 4388 9624,443880,196240,Historic England,234031
Gatcombe,,NA,Other,No,No,ST 5273 6995,352730,169950,Historic England,197955
Godmanchester,Durovigutum,Definite Fort,Other,Yes,No,TL 238 703,523800,270300,Historic England,366799
Grafton,Bovium,NA,Other,No,No,SJ 453 517,345300,351700,Historic England,873469
Great Casterton,,Definite Fort,Other,Yes,Yes,TF 002 090,500200,309000,Historic England,347926
Great Chesterford,,Dual LPRIA/fort,Other,Yes,No,TL 5033 4299,550330,242990,Historic England,374253
Great Dunmow,,Uncertain,Other,No,No,TL 62993 22957,562993,222957,Historic England,376484
Greta Bridge,,NA,Other,No,No,NZ 085 134,408500,513400,Historic England,1143630
Hacheston,,Uncertain,Other,No,No,TM 312 568,631200,256800,Historic England,391343
Harcourt Mill,RUTUNIUM,NA,other,No,No,SJ 5570 2545,355700,325450,Historic England,70623
Hardham,,NA,Other,No,No,TQ 0310 1737,503100,117370,Historic England,393011
Harlow,,Definite LPRIA site,Other,No,No,TL 472 125,547200,212500,Historic England,370082
Heronbridge,,Uncertain,Other,No,No,SJ 411 636,341100,363600,Historic England,69293
Heybridge,,Definite LPRIA site,Other,No,No,TL 8502 0823,585020,208230,Historic England,380695
Hibaldstow,,Communications?,Other,No,No,SE 9590 0317,495900,403170,Historic England,63466
High Cross,Venonis,Communications?,Other,No,No,SP 473 886,447300,288600,Historic England,337719
Higham,Ad Ansam,NA,Other,No,No,TM 039 351,603900,235100,Historic England,386555
Holditch,,Definite Fort,Other,No,No,SJ8390048300,383900,348300,Historic England,75898
Horncastle,Perhaps BANNOVALIUM,Uncertain,Other,Yes,No,TF2587069580,525870,369580,Historic England,80330
Icklingham,,NA,Other,No,No,TL 783 719,578300,271900,Historic England,379971
Ilchester,Lindinis Durotrigum,Civitas capital,Other,Yes,No,ST 521 227,352100,122700,Historic England,196505
Iping,,NA,Other,No,No,SU 8439 2606,484390,126060,Historic England,246739
Irchester,,Probable LPRIA site,Other,Yes,Yes,SP 916 666,491600,266600,Historic England,347066
Ixworth,,Definite Fort,Other,No,No,TL 9313 6975,593130,269750,Historic England,385184
Kelvedon,Canonium,Dual LPRIA/fort,Other,Yes,Yes,TL 864 185,586400,218500,Historic England,381009
Kempstone,,NA,Other,No,No,TF 875 165,587500,316500,Historic England,357883
Kenchester,Magnis,Probable Fort,Other,Yes,Yes,SO 440 428,344000,242800,Historic England,108086
