"","metric","value","shuffle"
"337","Mean Edge Betweeness",19078.4344465589,TRUE
"338","Mean Edge Betweeness",14834.4522818776,TRUE
"339","Mean Edge Betweeness",21131.5859273286,TRUE
"340","Mean Edge Betweeness",12548.4092123902,TRUE
"341","Mean Edge Betweeness",18412.594497995,TRUE
"342","Mean Edge Betweeness",11237.3565583658,TRUE
"343","Mean Edge Betweeness",20130.5982887062,TRUE
"344","Mean Edge Betweeness",21718.854266915,TRUE
"345","Mean Edge Betweeness",11402.7611505337,TRUE
"346","Mean Edge Betweeness",12807.0966434226,TRUE
"347","Mean Edge Betweeness",16076.9437527557,TRUE
"348","Mean Edge Betweeness",7423.92336071643,TRUE
"349","Mean Edge Betweeness",12875.1160212227,TRUE
"350","Mean Edge Betweeness",14420.7643565367,TRUE
"351","Mean Edge Betweeness",14347.7075289132,TRUE
"352","Mean Edge Betweeness",17543.6810481146,TRUE
"353","Mean Edge Betweeness",23151.8147477957,TRUE
"354","Mean Edge Betweeness",12577.1001943929,TRUE
"355","Mean Edge Betweeness",12072.8762383623,TRUE
"356","Mean Edge Betweeness",15727.1273362606,TRUE
"357","Mean Edge Betweeness",14490.008709528,TRUE
"358","Mean Edge Betweeness",13894.4677482524,TRUE
"359","Mean Edge Betweeness",20077.4807470813,TRUE
"360","Mean Edge Betweeness",11251.7608921803,TRUE
"361","Mean Edge Betweeness",15505.7978062044,TRUE
"362","Mean Edge Betweeness",9047.32654295619,TRUE
"363","Mean Edge Betweeness",16692.7487957888,TRUE
"364","Mean Edge Betweeness",12530.8136812601,TRUE
"365","Mean Edge Betweeness",9287.03189338786,TRUE
"366","Mean Edge Betweeness",9295.5994417908,TRUE
"367","Mean Edge Betweeness",9054.65229757507,TRUE
"368","Mean Edge Betweeness",13870.8374924518,TRUE
"369","Mean Edge Betweeness",13838.1375669712,TRUE
"370","Mean Edge Betweeness",10806.9321934766,TRUE
"371","Mean Edge Betweeness",22242.9898127641,TRUE
"372","Mean Edge Betweeness",25274.2637004695,TRUE
"373","Mean Edge Betweeness",17037.7870324287,TRUE
"374","Mean Edge Betweeness",19954.2118020275,TRUE
"375","Mean Edge Betweeness",12779.0020202177,TRUE
"376","Mean Edge Betweeness",14094.7301313148,TRUE
"377","Mean Edge Betweeness",17636.9643206863,TRUE
"378","Mean Edge Betweeness",18206.4153031477,TRUE
"379","Mean Edge Betweeness",14435.4792903246,TRUE
"380","Mean Edge Betweeness",24390.5340824926,TRUE
"381","Mean Edge Betweeness",17759.1016708534,TRUE
"382","Mean Edge Betweeness",18747.3450136414,TRUE
"383","Mean Edge Betweeness",11533.8289121797,TRUE
"384","Mean Edge Betweeness",10865.9864427453,TRUE
"385","Mean Edge Betweeness",10975.2770204744,TRUE
"386","Mean Edge Betweeness",10267.4872948002,TRUE
"387","Mean Edge Betweeness",9287.73153952544,TRUE
"388","Mean Edge Betweeness",16919.8992902524,TRUE
"389","Mean Edge Betweeness",16111.3623398705,TRUE
"390","Mean Edge Betweeness",17048.0557016523,TRUE
"391","Mean Edge Betweeness",13681.6983104284,TRUE
"392","Mean Edge Betweeness",7747.47926677302,TRUE
"393","Mean Edge Betweeness",25981.9433903013,TRUE
"394","Mean Edge Betweeness",7757.29860782096,TRUE
"395","Mean Edge Betweeness",13094.0680231986,TRUE
"396","Mean Edge Betweeness",18796.2206997956,TRUE
"397","Mean Edge Betweeness",12221.2191112644,TRUE
"398","Mean Edge Betweeness",29108.0835664194,TRUE
"399","Mean Edge Betweeness",15341.7975983197,TRUE
"400","Mean Edge Betweeness",14738.3814223023,TRUE
"401","Mean Edge Betweeness",15828.6445643167,TRUE
"402","Mean Edge Betweeness",10376.7261419815,TRUE
"403","Mean Edge Betweeness",14240.0076427202,TRUE
"404","Mean Edge Betweeness",12182.6731012551,TRUE
"405","Mean Edge Betweeness",19014.3967147727,TRUE
"406","Mean Edge Betweeness",18242.3649558983,TRUE
"407","Mean Edge Betweeness",8145.41760485757,TRUE
"408","Mean Edge Betweeness",10326.2039210644,TRUE
"409","Mean Edge Betweeness",7955.89058551175,TRUE
"410","Mean Edge Betweeness",11132.1417316243,TRUE
"411","Mean Edge Betweeness",19725.9347598968,TRUE
"412","Mean Edge Betweeness",7389.698612786,TRUE
"413","Mean Edge Betweeness",13584.866195736,TRUE
"414","Mean Edge Betweeness",10818.8837734386,TRUE
"415","Mean Edge Betweeness",11076.8737873541,TRUE
"416","Mean Edge Betweeness",17449.4378998302,TRUE
"417","Mean Edge Betweeness",14622.9785854872,TRUE
"418","Mean Edge Betweeness",15701.4089731991,TRUE
"419","Mean Edge Betweeness",21778.3617562375,TRUE
"420","Mean Edge Betweeness",17677.4645215382,TRUE
"421","Mean Edge Betweeness",18374.3512838827,TRUE
"422","Mean Edge Betweeness",9094.2609884994,TRUE
"423","Mean Edge Betweeness",11111.992974269,TRUE
"424","Mean Edge Betweeness",11603.9600731159,TRUE
"425","Mean Edge Betweeness",17933.3772106783,TRUE
"426","Mean Edge Betweeness",14733.9060315993,TRUE
"427","Mean Edge Betweeness",6437.75450319148,TRUE
"428","Mean Edge Betweeness",19949.04011512,TRUE
"429","Mean Edge Betweeness",14012.1981677579,TRUE
"430","Mean Edge Betweeness",14476.3610930606,TRUE
"431","Mean Edge Betweeness",9486.34952454955,TRUE
"432","Mean Edge Betweeness",14192.7345803004,TRUE
"433","Mean Edge Betweeness",12035.3534452556,TRUE
"434","Mean Edge Betweeness",8804.32074087282,TRUE
"435","Mean Edge Betweeness",12596.6715969574,TRUE
"436","Mean Edge Betweeness",15744.5804772953,TRUE
"437","Mean Edge Betweeness",11957.1886118814,TRUE
"438","Mean Edge Betweeness",16954.8829620386,TRUE
"439","Mean Edge Betweeness",12838.0668554382,TRUE
"440","Mean Edge Betweeness",22729.5311434257,TRUE
"441","Mean Edge Betweeness",10444.9411158207,TRUE
"442","Mean Edge Betweeness",14136.7744356174,TRUE
"443","Mean Edge Betweeness",27336.0907700452,TRUE
"444","Mean Edge Betweeness",11160.3879323947,TRUE
"445","Mean Edge Betweeness",12364.4963646324,TRUE
"446","Mean Edge Betweeness",12372.7546923531,TRUE
"447","Mean Edge Betweeness",19376.4731511601,TRUE
"448","Mean Edge Betweeness",11343.184032417,TRUE
"449","Mean Edge Betweeness",14167.3967981365,TRUE
"450","Mean Edge Betweeness",20054.8343540698,TRUE
"451","Mean Edge Betweeness",27252.0567552979,TRUE
"452","Mean Edge Betweeness",15356.0924643096,TRUE
"453","Mean Edge Betweeness",14650.6796235866,TRUE
"454","Mean Edge Betweeness",20516.653889212,TRUE
"455","Mean Edge Betweeness",14207.6874444094,TRUE
"456","Mean Edge Betweeness",15594.311178877,TRUE
"457","Mean Edge Betweeness",23815.6414029923,TRUE
"458","Mean Edge Betweeness",15396.2668055938,TRUE
"459","Mean Edge Betweeness",22227.4431977319,TRUE
"460","Mean Edge Betweeness",14879.1621121471,TRUE
"461","Mean Edge Betweeness",9212.12476234567,TRUE
"462","Mean Edge Betweeness",14964.0679608902,TRUE
"463","Mean Edge Betweeness",14177.9176782969,TRUE
"464","Mean Edge Betweeness",14810.1212098972,TRUE
"465","Mean Edge Betweeness",15726.2384491281,TRUE
"466","Mean Edge Betweeness",20495.4582211532,TRUE
"467","Mean Edge Betweeness",9522.01191844703,TRUE
"468","Mean Edge Betweeness",15521.7761929296,TRUE
"469","Mean Edge Betweeness",17010.0721207059,TRUE
"470","Mean Edge Betweeness",12571.4958681128,TRUE
"471","Mean Edge Betweeness",20228.0349323531,TRUE
"472","Mean Edge Betweeness",10572.562858785,TRUE
"473","Mean Edge Betweeness",14788.9160032549,TRUE
"474","Mean Edge Betweeness",19456.4312746007,TRUE
"475","Mean Edge Betweeness",12887.4367958701,TRUE
"476","Mean Edge Betweeness",18580.4874526199,TRUE
"477","Mean Edge Betweeness",15252.2173027725,TRUE
"478","Mean Edge Betweeness",21880.7347256549,TRUE
"479","Mean Edge Betweeness",17714.4631851524,TRUE
"480","Mean Edge Betweeness",13870.6717720977,TRUE
"481","Mean Edge Betweeness",10586.0092956268,TRUE
"482","Mean Edge Betweeness",13160.2491028966,TRUE
"483","Mean Edge Betweeness",9497.37001242882,TRUE
"484","Mean Edge Betweeness",8132.58060930303,TRUE
"485","Mean Edge Betweeness",13359.2264551127,TRUE
"486","Mean Edge Betweeness",23199.7460188346,TRUE
"487","Mean Edge Betweeness",20003.6969937473,TRUE
"488","Mean Edge Betweeness",19382.6064313969,TRUE
"489","Mean Edge Betweeness",22252.5822671273,TRUE
"490","Mean Edge Betweeness",19731.9480115995,TRUE
"491","Mean Edge Betweeness",10906.6845631587,TRUE
"492","Mean Edge Betweeness",14462.6242725657,TRUE
"493","Mean Edge Betweeness",16961.9959224348,TRUE
"494","Mean Edge Betweeness",10444.4778936692,TRUE
"495","Mean Edge Betweeness",6435.76487124508,TRUE
"496","Mean Edge Betweeness",22385.0603855731,TRUE
"497","Mean Edge Betweeness",21052.6532998302,TRUE
"498","Mean Edge Betweeness",10404.7769609362,TRUE
"499","Mean Edge Betweeness",14923.8116352047,TRUE
